Location,Sovereign state with capital,Flag
https://upload.wikimedia.org/wikipedia/commons/d/d8/Location_Cape_Verde_AU_Africa.svg,Cape Verde (capital : Praia),https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
https://upload.wikimedia.org/wikipedia/commons/f/f0/Location_Central_African_Republic_AU_Africa.svg,Central African Republic (capital : Bangui),https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
https://upload.wikimedia.org/wikipedia/commons/e/ec/Location_Chad_AU_Africa.svg,Chad (capital : N'Djamena),https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
https://upload.wikimedia.org/wikipedia/commons/c/cc/CHL_orthographic_%28%2Ball_claims%29.svg,Chile (capital : Santiago),https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
https://upload.wikimedia.org/wikipedia/commons/7/78/People%27s_Republic_of_China_%28orthographic_projection%29.svg,China (capital : Beijing),https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
https://upload.wikimedia.org/wikipedia/commons/c/ca/COL_orthographic_%28San_Andr%C3%A9s_and_Providencia_special%29.svg,Colombia (capital : Bogota),https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
https://upload.wikimedia.org/wikipedia/commons/2/25/Location_Comoros_AU_Africa.svg,Comoros (capital : Moroni),https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
https://upload.wikimedia.org/wikipedia/commons/d/d6/Democratic_Republic_of_the_Congo_%28orthographic_projection%29.svg,Democratic Republic of the Congo (capital : Kinshasa),https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
https://upload.wikimedia.org/wikipedia/commons/b/ba/Location_Republic_of_the_Congo_AU_Africa.svg,Republic of the Congo (capital : Brazzaville),https://upload.wikimedia.org/wikipedia/commons/b/ba/Location_Republic_of_the_Congo_AU_Africa.svg
https://upload.wikimedia.org/wikipedia/commons/8/89/CRI_orthographic.svg,Costa Rica (capital : San Jose),https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg
https://upload.wikimedia.org/wikipedia/commons/1/15/EU-Croatia.svg,Croatia (capital : Zagreb),https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
https://upload.wikimedia.org/wikipedia/commons/1/16/CUB_orthographic.svg,Cuba (capital : Havana),https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
https://upload.wikimedia.org/wikipedia/commons/4/4f/EU-Cyprus.svg,Cyprus (capital : Nicosia),https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg
https://upload.wikimedia.org/wikipedia/commons/3/31/EU-Czech_Republic.svg,Czech Republic (capital : Prague),https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
https://upload.wikimedia.org/wikipedia/commons/1/10/Kingdom_of_Denmark_%28orthographic_projection%29.svg,Denmark (capital : Copenhagen),https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
https://upload.wikimedia.org/wikipedia/commons/5/53/Location_Djibouti_AU_Africa.svg,Djibouti (capital : Djibouti),https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg
https://upload.wikimedia.org/wikipedia/commons/7/78/Dominica_on_the_globe_%28Americas_centered%29.svg,Dominica (capital : Roseau),https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg
https://upload.wikimedia.org/wikipedia/commons/9/95/Dominican_Republic_%28orthographic_projection%29.svg,Dominican Republic (capital : Santo Domingo),https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
https://upload.wikimedia.org/wikipedia/commons/b/bc/Timor_Leste_%28orthographic_projection%29.svg,East Timor (capital : Dili),https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg
https://upload.wikimedia.org/wikipedia/commons/e/e3/ECU_orthographic.svg,Ecuador (capital : Quito),https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
https://upload.wikimedia.org/wikipedia/commons/a/a1/EGY_orthographic.svg,Egypt (capital : Cairo),https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg
https://upload.wikimedia.org/wikipedia/commons/e/e3/El_Salvador_%28orthographic_projection%29.svg,El Salvador (capital : San Salvador),https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg
https://upload.wikimedia.org/wikipedia/commons/e/e2/Location_Equatorial_Guinea_AU_Africa.svg,Equatorial Guinea (capital : Malabo),https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg
https://upload.wikimedia.org/wikipedia/commons/9/9f/Location_Eritrea_AU_Africa.svg,Eritrea (capital : Asmara),https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
https://upload.wikimedia.org/wikipedia/commons/a/a2/EU-Estonia.svg,Estonia (capital : Tallinn),https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg
https://upload.wikimedia.org/wikipedia/commons/2/2a/Location_Swaziland_AU_Africa.svg,eSwatini or Swaziland (capital : Mbabane (executive) Lobamba (legislative)),https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg
https://upload.wikimedia.org/wikipedia/commons/d/dd/Ethiopia_%28Africa_orthographic_projection%29.svg,Ethiopia (capital : Addis Ababa),https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
https://upload.wikimedia.org/wikipedia/commons/f/fa/Fiji_%28orthographic_projection%29.svg,Fiji (capital : Suva),https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
https://upload.wikimedia.org/wikipedia/commons/0/07/EU-Finland_%28orthographic_projection%29.svg,Finland (capital : Helsinki),https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
https://upload.wikimedia.org/wikipedia/commons/a/a4/EU-France_%28orthographic_projection%29.svg,France (capital : Paris),https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
https://upload.wikimedia.org/wikipedia/commons/9/9c/Location_Gabon_AU_Africa.svg,Gabon (capital : Libreville),https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
https://upload.wikimedia.org/wikipedia/commons/1/16/Gambia_%28orthographic_projection_with_inset%29.svg,The Gambia (capital : Banjul),https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
https://upload.wikimedia.org/wikipedia/commons/6/67/Georgia_%28orthographic_projection_with_inset%29.svg,Georgia (capital : Tbilisi),https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
https://upload.wikimedia.org/wikipedia/commons/a/af/EU-Germany_%28orthographic_projection%29.svg,Germany (capital : Berlin),https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
https://upload.wikimedia.org/wikipedia/commons/3/30/Ghana_%28orthographic_projection%29.svg,Gana (capital : Accra),https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
https://upload.wikimedia.org/wikipedia/commons/2/21/EU-Greece.svg,Greece (capital : Athens),https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
https://upload.wikimedia.org/wikipedia/commons/5/53/Grenada_in_its_region.svg,Grenada (capital : St. George's),https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
