Cocktail,Image,Recipe
PORTO FLIP,https://upload.wikimedia.org/wikipedia/commons/d/d2/Porto_Flip.jpg,"After Dinner Cocktail

    1.5 cl Brandy
    4.5 cl Red Port
    1 cl Egg yolk

Pour all ingredients into cocktail shaker filled with ice. Shake well.
Strain into cocktail glass.
Sprinkle with fresh ground nutmeg."
RAMOS GIN FIZZ,https://upload.wikimedia.org/wikipedia/commons/1/1d/15-09-26-RalfR-WLC-0032.jpg,"Longdrink

    4.5 cl Gin
    3 cl Sugar syrup
    1.5 cl Lime juice
    1.5 cl Fresh lemon juice
    6 cl Cream
    1 Egg white
    3 dashes Orange flower water
    2 drops Vanilla extract
    Soda water

Pour all ingredients (except soda) in a mixing glass, dry shake (no ice) for two minutes, add ice and hard shake for another minute. Strain into a highball glass without ice, top with soda."
RUSTY NAIL,https://upload.wikimedia.org/wikipedia/commons/f/f3/Rusty_Nail_a_cocktail_by_%40tokenchick13_%2816503594826%29.jpg,"After Dinner Cocktail

    4.5 cl Scotch whisky
    2.5 cl Drambuie

Pour all ingredients directly into old-fashioned glass filled with ice. Stir gently. Garnish with lemon twist."
SAZERAC,https://upload.wikimedia.org/wikipedia/commons/d/dd/SazeracRooseveltNOLA1July2009.JPG,"After Dinner Cocktail

    5 cl Cognac
    1 cl Absinthe
    1 sugar cube
    2 dashes Peychaud’s bitters

Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside.
Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the Lemon peel for garnish. Note: The original recipe changed after the American Civil War, rye whiskey substituted cognac as it became hard to obtain."
SCREWDRIVER,https://upload.wikimedia.org/wikipedia/commons/4/45/Screwdriver%2C_Birmingham-Shuttlesworth_International_Airport%2C_Birmingham_AL.jpg,"All Day Cocktail

    5 cl Vodka
    10 cl Orange juice

Pour all ingredients into a highball glass filled with ice. Stir gently. Garnish with an orange slice."
SIDECAR,https://upload.wikimedia.org/wikipedia/commons/9/94/Sidecar-cocktail.jpg,"All Day Cocktail

    5 cl Cognac
    2 cl Triple Sec
    2 cl Fresh lemon juice

Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass."
STINGER,https://upload.wikimedia.org/wikipedia/commons/2/27/Stinger_Cocktail.jpg,"After Dinner Cocktail

    5 cl Cognac
    2 cl Crème de Menthe (white)

Pour all ingredients into a mixing glass with ice. Stir.
Strain into a cocktail glass."
TUXEDO,http://iba-world.com/wp-content/uploads/2015/08/tuxedo.jpg,"All Day Cocktail

    3 cl Old Tom Gin
    3 cl Dry Vermouth
    1/2 bar spoon Maraschino
    1/4 bar spoon Absinthe
    3 dashes Orange Bitters

Stir all ingredients with ice and strain into cocktail glass. Garnish with a cocktail cherry and a lemon zest twist."
WHISKEY SOUR,https://upload.wikimedia.org/wikipedia/commons/5/59/Whiskey_Sour.jpg,"Before Dinner Cocktail

    4.5 cl Bourbon Whiskey
    1.5 cl Sugar syrup
    3.0 cl Fresh lemon juice

Dash egg white (Optional: if used shake little harder to foam up the egg white).
Pour all ingredients into cocktail shaker filled with ice. Shake well. Strain in cocktail glass.
If served ‘On the rocks’, strain ingredients into old-fashioned glass filled with ice. Garnish with half orange slice and maraschino cherry."
WHITE LADY,https://upload.wikimedia.org/wikipedia/commons/d/da/White_Lady_-_Beefeater_gin%2C_Cointreau%2C_fresh_lemon_juice_%2812403540403%29.jpg,"All Day Cocktail

    4 cl Gin
    3 cl Triple Sec
    2 cl Fresh lemon juice

Add all ingredients into cocktail shaker filled with ice.
Shake well and strain into large cocktail glass."
BELLINI,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bellini_Cipriani%2C_Macaroni_Grill%2C_Dunwoody_GA.jpg,"Sparkling Cocktail

    10 cl Prosecco
    5 cl Fresh peach puree

Pour peach puree into chilled glass and add sparkling wine. Stir gently.

Variations:
Puccini (fresh mandarin juice)
Rossini (fresh strawberry puree)
Tintoretto (fresh pomegranate juice)"
BLACK RUSSIAN,https://upload.wikimedia.org/wikipedia/commons/9/91/Black_Russian.jpg,"After Dinner Cocktail

    5 cl Vodka
    2 cl Coffee liqueur

Pour the ingredients into the old fashioned-glass filled with ice cubes. Stir gently.
Note: for White Russian, float fresh cream on the top and stir gently."
BLOODY MARY,https://upload.wikimedia.org/wikipedia/commons/1/1f/Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg,"Longdrink

    4.5 cl Vodka
    9 cl Tomato juice
    1.5 cl Lemon juice
    2 to 3 dashes of Worcestershire Sauce
    Tabasco
    Celery salt
    Pepper

Stir gently, pour all ingredients into highball glass. Garnish with celery and lemon wedge (optional)."
CAIPIRINHA,https://upload.wikimedia.org/wikipedia/commons/9/99/15-09-26-RalfR-WLC-0048.jpg,"Longdrink

    5 cl Cachaça
    1/2 Fresh lime (4 wedges)
    2 teaspoons sugar

Place lime and sugar in an old fashioned glass and muddle. Fill glass with ice and Cachaça. (For a Caipiroska – use Vodka instead of Cachaça)."
CHAMPAGNE COCKTAIL,https://upload.wikimedia.org/wikipedia/commons/9/96/Champagne_cocktail_-_Portal%2C_Clerkenwell%2C_London_%284356768748%29_%28cropped%29.jpg,"Sparkling Cocktail

9 cl Chilled Champagne
1 cl Cognac
2 dashes Angostura Bitters
1 sugar cube

Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by pouring gently chilled champagne.
Garnish with orange slice and maraschino cherry."
COSMOPOLITAN,https://upload.wikimedia.org/wikipedia/commons/c/c0/Cosmopolitan_%285076906532%29.jpg,"All Day Cocktail

    4 cl Citron Vodka
    1.5 cl Cointreau
    3 cl Cranberry juice
    1.5 cl Fresh lime juice

Shake all ingredients in cocktail shaker filled with ice.Strain into a large cocktail glass .Garnish with lime slice."
CUBA LIBRE,https://upload.wikimedia.org/wikipedia/commons/5/5d/15-09-26-RalfR-WLC-0056.jpg,"Longdrink

    5 cl White Rum
    12 cl Cola
    1 cl Fresh lime juice

Build all ingredients in a highball glass filled with ice. Garnish with lime wedge."
FRENCH 75,https://upload.wikimedia.org/wikipedia/commons/0/0b/French_75.jpg,"Sparkling Cocktail

    3 cl Gin
    1.5 cl Fresh lemon juice
    2 dashes Sugar syrup
    6 cl Champagne

Pour all the ingredients, except champagne, into a shaker. Shake.Strain into a champagne flute.Top up with champagne. Stir gently."
FRENCH CONNECTION,http://iba-world.com/wp-content/uploads/2015/09/french_connection.jpg,"After Dinner Cocktail

    3.5 cl Cognac
    3.5 cl Amaretto

Pour all ingredients directly into old fashioned glass filled with ice cubes.
Stir gently."
GOD FATHER,https://upload.wikimedia.org/wikipedia/commons/8/80/Godfather_cocktail.jpg,"After Dinner Cocktail

3.5 cl Scotch
3.5 cl Amaretto

Pour all ingredients directly into old fashioned glass filled with ice cubes.
Stir gently."
GOD MOTHER,http://iba-world.com/wp-content/uploads/2015/09/godfather.jpg,"After Dinner Cocktail

    3.5 cl Vodka
    3.5 cl Amaretto

Pour all ingredients directly into old fashioned glass filled with ice cubes.
Stir gently."
GOLDEN DREAM,https://upload.wikimedia.org/wikipedia/commons/1/15/Godlen-Dream_Mixed_Drink_Cocktail_%282360538105%29.jpg,"After Dinner Cocktail

    2 cl Galliano
    2 cl Triple sec
    2 cl Fresh Orange juice
    1 cl Fresh cream

Pour all ingredients into shaker filled with ice.
Shake briskly for few seconds.
Strain into chilled cocktail glass."
GRASSHOPPER,https://upload.wikimedia.org/wikipedia/commons/7/7b/Grasshopper_cocktail.jpg,"After Dinner Cocktail

    3 cl Crème de cacao (white)
    3 cl Crème de menthe (green)
    3 cl Fresh cream

Pour all ingredients into shaker filled with ice.
Shake briskly for few seconds.
Strain into chilled cocktail glass."
HARVEY WALLBANGER,https://upload.wikimedia.org/wikipedia/commons/4/44/Harvey_Wallbanger.jpg,"All Day Cocktail

    4.5 cl Vodka
    1.5 cl Galliano (to float on drink)
    9 cl Orange juice

Pour vodka and orange juice into a highball glass filled with ice.
Stir gently and float Galliano on top. Garnish with orange slices and cherry."
HEMINGWAY SPECIAL,https://upload.wikimedia.org/wikipedia/commons/2/22/Hemingway_Daiquiri.jpg,"All Day Cocktail

    6 cl White Rum
    1.5 cl Maraschino
    4 cl Grapefruit juice
    1.5cl Fresh lime juice

Pour all ingredients into a shaker with ice. Shake.
Strain into a double cocktail glass."
HORSE’S NECK,https://upload.wikimedia.org/wikipedia/commons/d/d9/Horse%27s_Neck_cocktail.jpg,"Longdrink

    4 cl Brandy
    12 cl Ginger Ale
    Dash of Angostura bitters (optional)

Pour brandy and ginger ale directly into hi-ball glass with ice cubes. Stir gently.
Garnish with rind of one lemon spiral.
If required, add dashes of Angostura bitters."
